,Match,Team1,Team2,Match_Date,Team1_Recent_form,Team2_Recent_form,Team1_rank,Team2_rank,Team1_Star_Player_Count,Team1_Top100_players,Team2_Star_Player_Count,Team2_Top100_players,Head_to_Head_Team1_result_percentage,Team1_Result,Team1_goalkeeper_rank,Team2_goalkeeper_rank
257,2018MorovsIran,Morocco,Iran,6/15/2018,4.5,3.0,41,37,1,1,1,0,0.333333,Loss,22,26
258,2018PorvsSpa,Portugal,Spain,6/15/2018,3.0,3.5,4,10,3,4,6,9,0.405405,Draw,8,3
259,2018FravsAus,France,Australia,6/16/2018,3.5,3.5,7,36,6,8,1,0,0.7,Win,5,29
260,2018ArgvsIce,Argentina,Iceland,6/16/2018,3.0,1.5,5,22,4,5,1,0,0.5,Draw,7,30
261,2018PervsDen,Peru,Denmark,6/16/2018,4.5,3.0,11,12,1,1,2,2,0.0,Loss,23,18
262,2018CrovsNig,Croatia,Nigeria,6/16/2018,2.5,1.5,20,48,4,5,2,2,1.0,Win,13,21
263,2018CoRivsSer,Costa Rica,Serbia,6/17/2018,2.0,2.5,23,34,2,2,1,1,0.0,Loss,11,27
264,2018GervsMex,Germany,Mexico,6/17/2018,2.0,2.5,1,15,6,9,2,2,0.625,Loss,2,14
265,2018BravsSwi,Brazil,Switzerland,6/17/2018,4.5,4.0,2,6,7,10,2,3,0.555556,Draw,4,6
266,2018SwevsSK,Sweden,South Korea,6/18/2018,2.0,1.5,24,57,2,2,2,2,0.75,Win,15,25
267,2018BelvsPan,Belgium,Panama,6/18/2018,4.5,1.5,3,55,6,8,0,0,1.0,Win,1,32
268,2018TunvsEng,Tunisia,England,6/18/2018,3.0,4.0,21,12,1,0,4,6,0.166667,Loss,28,9
269,2018ColvsJap,Colombia,Japan,6/19/2018,3.0,1.5,16,61,3,4,1,1,0.625,Loss,16,24
270,2018PanvsSen,Poland,Senegal,6/19/2018,2.5,2.5,8,27,2,2,2,2,0.0,Loss,12,17
271,2018RusvsEgy,Russia,Egypt,6/19/2018,1.5,1.0,70,45,1,1,2,2,1.0,Win,19,20
272,2018PorvsMoro,Portugal,Morocco,6/20/2018,2.5,3.5,4,41,3,4,1,1,0.5,Win,8,22
273,2018UruvsSA,Uruguay,Saudi Arabia,6/20/2018,4.0,1.0,14,67,3,4,0,0,0.5,Win,10,31
274,2018IravsSpa,Iran,Spain,6/20/2018,4.0,3.5,37,10,1,0,6,9,0.0,Loss,26,3
275,2018DenvsAus,Denmark,Australia,6/21/2018,4.0,2.5,12,36,2,2,1,0,0.625,Draw,18,29
276,2018FravsPer,France,Peru,6/21/2018,4.5,3.5,7,11,6,8,1,1,0.5,Win,5,23
277,2018ArgvsCro,Argentina,Croatia,6/21/2018,2.5,3.0,5,20,4,5,4,5,0.5,Loss,7,13
278,2018BravsCoRi,Brazil,Costa Rica,6/22/2018,4.5,1.0,2,23,7,10,2,2,0.909091,Win,4,11
279,2018NigvsIce,Nigeria,Iceland,6/22/2018,0.5,1.0,48,22,2,2,1,0,0.5,Win,21,30
280,2018ServsSwi,Serbia,Switzerland,6/22/2018,3.0,4.0,34,6,1,1,2,3,0.5,Loss,27,6
281,2018BelvsTun,Belgium,Tunisia,6/23/2018,4.5,2.0,3,21,6,8,1,0,0.625,Win,1,28
282,2018SKvsMex,South Korea,Mexico,6/23/2018,1.5,2.5,57,15,2,2,2,2,0.333333,Loss,25,14
283,2018GervsSwe,Germany,Sweden,6/23/2018,1.5,2.0,1,24,6,9,2,2,0.554054,Win,2,15
284,2018EngvsPan,England,Panama,6/24/2018,4.5,1.5,12,55,4,6,0,0,1.0,Win,9,32
285,2018JapvsSen,Japan,Senegal,6/24/2018,2.0,3.0,61,27,1,1,2,2,0.25,Draw,24,17
286,2018PolvsCol,Poland,Colombia,6/24/2018,2.5,3.0,8,16,2,2,3,4,0.333333,Loss,12,16
287,2018RusvsUru,Russia,Uruguay,6/25/2018,2.5,5.0,70,14,1,1,3,4,0.722222,Loss,19,10
288,2018SAvsEgy,Saudi Arabia,Egypt,6/25/2018,0.0,1.0,67,45,0,0,2,2,0.357143,Win,31,20
289,2018SpavsMor,Spain,Morocco,6/25/2018,4.0,2.5,10,41,6,9,1,1,0.833333,Draw,3,22
290,2018IravsPor,Iran,Portugal,6/25/2018,3.0,3.5,37,4,1,0,3,4,0.166667,Draw,26,8
291,2018AusvsPer,Australia,Peru,6/26/2018,3.0,2.5,36,11,1,0,1,1,0.0,Loss,29,23
292,2018DenvsFra,Denmark,France,6/26/2018,3.5,4.5,12,7,2,2,6,8,0.4,Draw,18,5
293,2018NigvsArg,Nigeria,Argentina,6/26/2018,1.5,2.5,48,5,2,2,4,5,0.277778,Loss,21,7
294,2018IcevsCro,Iceland,Croatia,6/26/2018,1.0,4.0,22,20,1,0,4,5,0.214286,Loss,30,13
295,2018SKvsGer,South Korea,Germany,6/27/2018,0.5,2.0,57,1,2,2,6,9,0.5,Win,25,2
296,2018MexvsSwe,Mexico,Sweden,6/27/2018,3.5,2.0,15,24,2,2,2,2,0.35,Loss,14,15
297,2018ServsBra,Serbia,Brazil,6/27/2018,3.0,4.5,34,2,1,1,7,10,0.1,Loss,27,4
298,2018SwivsCoRi,Switzerland,Costa Rica,6/27/2018,4.0,1.0,6,23,2,3,2,2,0.5,Draw,6,11
299,2018JapvsPol,Japan,Poland,6/28/2018,2.5,2.5,61,8,1,1,2,2,0.666667,Loss,24,12
300,2018SenvsCol,Senegal,Colombia,6/28/2018,3.0,3.0,27,16,2,2,3,4,0.166667,Loss,17,16
